Date,Open,High,Low,Close,Volume,Adj Close
2015-06-17,191.360001,191.779999,189.720001,191.020004,861400,191.020004
2015-06-16,189.259995,191.139999,188.889999,190.820007,853800,190.820007
2015-06-15,190.00,190.580002,189.009995,189.919998,702300,189.919998
2015-06-12,190.589996,191.529999,190.220001,190.979996,1108500,190.979996
2015-06-11,189.419998,191.539993,189.419998,191.479996,1324400,191.479996
2015-06-10,189.350006,190.649994,188.839996,189.279999,1716100,189.279999
2015-06-09,190.429993,190.539993,189.300003,189.350006,1033200,189.350006
2015-06-08,189.339996,190.830002,189.059998,189.369995,955300,189.369995
2015-06-05,189.410004,189.770004,188.429993,189.330002,1389100,189.330002
2015-06-04,190.759995,192.289993,189.990005,190.169998,1851300,190.169998
2015-06-03,191.419998,192.330002,190.789993,191.889999,1340300,191.889999
2015-06-02,190.610001,191.289993,188.800003,190.770004,1464500,190.770004
2015-06-01,189.479996,192.25,188.369995,191.070007,2003600,191.070007
2015-05-29,189.929993,190.100006,187.619995,188.199997,1502900,188.199997
2015-05-28,189.410004,190.759995,188.929993,190.119995,1468900,190.119995
2015-05-27,190.449997,191.589996,190.039993,191.350006,1196100,189.850009
2015-05-26,192.679993,192.679993,190.139999,190.509995,1380400,189.016582
2015-05-22,193.259995,193.360001,192.160004,192.860001,995600,191.348166
2015-05-21,193.570007,193.940002,192.520004,193.110001,769700,191.596207
2015-05-20,193.899994,193.899994,192.460007,193.25,826500,191.735109
2015-05-19,193.020004,194.309998,192.910004,193.380005,772100,191.864094
2015-05-18,192.449997,193.630005,192.360001,193.080002,822100,191.566443
2015-05-15,193.029999,193.809998,192.100006,192.360001,1356500,190.852086
2015-05-14,191.619995,193.350006,191.470001,193.050003,1004500,191.536679
2015-05-13,190.970001,191.990005,190.809998,191.00,980900,189.502746
2015-05-12,189.220001,191.309998,188.550003,190.610001,941800,189.115804
2015-05-11,189.809998,191.179993,189.539993,190.470001,832000,188.976902
2015-05-08,189.960007,191.039993,189.479996,190.479996,950500,188.986818
2015-05-07,186.649994,188.949997,186.339996,188.210007,1040700,186.734624
2015-05-06,188.509995,189.070007,185.910004,186.830002,1192200,185.365437
2015-05-05,189.25,189.899994,187.110001,187.350006,993600,185.881365
2015-05-04,189.199997,190.850006,189.149994,189.690002,912400,188.203018
2015-05-01,186.800003,189.149994,186.800003,189.00,1196000,187.518424
2015-04-30,190.970001,191.460007,185.649994,186.600006,2257200,185.137244
2015-04-29,193.380005,194.070007,190.929993,191.289993,1427200,189.790466
2015-04-28,193.75,194.270004,191.589996,194.020004,1095600,192.499077
2015-04-27,195.639999,196.580002,193.529999,193.839996,1377700,192.32048
2015-04-24,197.009995,197.240005,195.00,195.369995,1307400,193.838485
2015-04-23,197.490005,198.929993,196.050003,197.199997,1178700,195.654141
2015-04-22,196.699997,198.089996,195.210007,197.630005,1127300,196.080779
2015-04-21,198.050003,198.339996,195.110001,196.289993,1421000,194.751271
2015-04-20,195.279999,197.649994,195.00,196.800003,1276600,195.257283
2015-04-17,195.800003,196.440002,193.940002,194.820007,1229900,193.292809
2015-04-16,196.580002,198.039993,195.669998,197.119995,1065300,195.574767
2015-04-15,198.270004,199.460007,197.039993,197.210007,1154300,195.664073
2015-04-14,196.889999,197.770004,196.350006,197.339996,1586900,195.793043
2015-04-13,200.029999,201.130005,196.820007,197.050003,2130400,195.505323
2015-04-10,201.369995,202.190002,200.279999,200.399994,1279000,198.829054
2015-04-09,200.520004,201.910004,200.289993,201.440002,828100,199.860909
2015-04-08,200.449997,201.889999,199.630005,200.809998,944800,199.235843
2015-04-07,201.00,202.550003,199.899994,200.149994,1084800,198.581013
2015-04-06,199.330002,201.119995,197.850006,200.529999,1366300,198.958039
2015-04-02,199.369995,199.559998,197.669998,198.720001,1387600,197.16223
2015-04-01,202.100006,202.470001,197.429993,198.759995,1897200,197.20191
2015-03-31,203.460007,205.169998,202.960007,202.960007,1261500,201.368998
2015-03-30,203.50,206.190002,203.00,204.889999,1049000,203.283862
2015-03-27,200.559998,202.869995,200.240005,202.229996,1256400,200.64471
2015-03-26,197.570007,201.119995,196.259995,200.559998,1499700,198.987803
2015-03-25,203.339996,204.00,199.00,199.020004,1338200,197.459882
2015-03-24,202.339996,204.369995,200.949997,203.300003,1250900,201.706329
2015-03-23,203.330002,204.589996,202.919998,202.919998,1028100,201.329303
2015-03-20,203.050003,204.039993,201.669998,203.770004,3938100,202.172646
2015-03-19,202.50,203.360001,201.039993,202.190002,1178000,200.60503
2015-03-18,200.770004,203.490005,198.360001,202.600006,872800,201.01182
2015-03-17,201.479996,202.00,200.029999,200.669998,936600,199.096941
2015-03-16,198.220001,202.300003,198.100006,202.110001,1198000,200.525655
2015-03-13,197.970001,199.009995,195.600006,197.110001,1155400,195.564851
2015-03-12,197.539993,198.949997,197.539993,198.779999,1047200,197.221758
2015-03-11,197.940002,198.410004,196.910004,197.210007,953000,195.664073
2015-03-10,198.410004,198.979996,197.309998,197.580002,1087100,196.031167
2015-03-09,197.419998,200.490005,197.210007,199.740005,887600,198.174239
2015-03-06,198.380005,198.639999,196.710007,197.660004,1220300,196.110542
2015-03-05,199.369995,200.029999,198.75,199.100006,872300,197.539256
2015-03-04,199.699997,200.080002,198.779999,198.970001,851400,197.410271
2015-03-03,202.449997,202.449997,199.429993,199.929993,1312100,198.362737
2015-03-02,200.050003,203.130005,200.050003,203.020004,1037400,201.428526
2015-02-27,201.00,201.940002,200.00,200.050003,1311400,198.481806
2015-02-26,203.25,203.839996,200.529999,201.330002,1349700,199.751771
2015-02-25,207.050003,207.059998,204.50,204.860001,2759800,201.765857
2015-02-24,205.509995,206.929993,204.820007,206.619995,1168600,203.499269
2015-02-23,204.00,205.660004,203.199997,205.589996,1440600,202.484827
2015-02-20,200.860001,204.00,200.279999,203.990005,1301400,200.909002
2015-02-19,198.559998,201.740005,197.970001,201.710007,1775000,198.66344
2015-02-18,197.570007,198.580002,196.949997,198.570007,902000,195.570866
2015-02-17,196.529999,198.300003,195.770004,197.570007,1023300,194.58597
2015-02-13,197.289993,198.389999,196.190002,196.949997,1253900,193.975324
2015-02-12,196.710007,198.229996,196.389999,197.479996,1217900,194.497318
2015-02-11,195.169998,197.179993,195.00,196.309998,1439300,193.344991
2015-02-10,195.100006,195.979996,193.880005,195.669998,1280600,192.714658
2015-02-09,194.350006,194.990005,192.699997,193.020004,1208300,190.104688
2015-02-06,194.289993,196.949997,192.899994,195.240005,1117300,192.291159
2015-02-05,193.080002,194.470001,191.580002,194.059998,1063200,191.128974
2015-02-04,191.339996,193.529999,190.619995,192.279999,1230900,189.37586
2015-02-03,190.380005,192.300003,189.589996,192.00,1618200,189.10009
2015-02-02,188.410004,189.759995,186.009995,189.330002,1554000,186.470419
2015-01-30,189.770004,190.960007,188.279999,188.369995,2287900,185.524912
2015-01-29,189.259995,192.529999,187.100006,192.50,2017000,189.592538
2015-01-28,191.839996,194.800003,189.00,189.25,1570400,186.391625
2015-01-27,193.00,193.490005,190.320007,190.550003,1942700,187.671993
2015-01-26,196.25,196.919998,193.029999,195.679993,1338900,192.724501
2015-01-23,197.990005,198.880005,196.949997,197.440002,1313000,194.457928
2015-01-22,197.00,198.559998,195.279999,198.089996,1307900,195.098105
2015-01-21,195.00,196.75,194.110001,195.50,966600,192.547227
2015-01-20,196.630005,196.990005,193.009995,195.75,857800,192.793451
2015-01-16,191.880005,194.770004,191.880005,194.710007,1085600,191.769166
2015-01-15,193.229996,194.729996,191.850006,192.369995,896600,189.464497
2015-01-14,194.149994,194.240005,191.630005,193.229996,1101100,190.311508
2015-01-13,196.139999,198.440002,192.679993,194.350006,1095000,191.414602
2015-01-12,195.509995,196.229996,193.710007,194.470001,896400,191.532785
2015-01-09,195.089996,197.070007,194.820007,195.020004,1439500,192.074481
2015-01-08,190.899994,196.880005,190.899994,195.130005,1950900,192.18282
2015-01-07,189.320007,191.020004,189.220001,190.830002,941900,187.947763
2015-01-06,189.619995,190.990005,186.800003,188.399994,1205800,185.554457
2015-01-05,192.899994,194.50,188.600006,189.289993,1506200,186.431014
2015-01-02,192.100006,194.479996,191.039993,193.309998,902100,190.390302
2014-12-31,194.910004,195.970001,192.520004,192.570007,706500,189.661488
2014-12-30,195.240005,196.410004,195.00,195.429993,523600,192.478277
2014-12-29,196.929993,196.929993,194.710007,195.639999,610800,192.685112
2014-12-26,196.710007,197.809998,196.580002,196.839996,547400,193.866985
2014-12-24,195.970001,197.910004,195.789993,196.429993,403200,193.463173
2014-12-23,198.50,198.720001,195.75,195.770004,986000,192.813153
2014-12-22,193.399994,196.960007,193.399994,196.449997,1105500,193.482876
2014-12-19,191.550003,194.240005,191.009995,192.850006,2609100,189.937258
2014-12-18,187.550003,191.720001,186.039993,191.639999,1670500,188.745527
2014-12-17,185.389999,185.929993,182.410004,185.149994,1482600,182.353544
2014-12-16,184.00,188.429993,183.990005,185.389999,1228600,182.589925
2014-12-15,185.589996,187.259995,183.059998,184.210007,1308200,181.427754
2014-12-12,187.279999,188.039993,184.779999,185.179993,1204600,182.38309
2014-12-11,188.759995,190.399994,188.039993,189.25,1170600,186.391625
2014-12-10,189.75,190.699997,187.559998,187.910004,1244000,185.071868
2014-12-09,188.309998,190.75,188.130005,190.619995,1140800,187.740928
2014-12-08,190.00,190.610001,188.770004,189.850006,1669000,186.982569
2014-12-05,189.070007,190.179993,188.470001,189.869995,1204300,187.002256
2014-12-04,189.979996,190.25,188.470001,189.729996,900100,186.864371
2014-12-03,190.199997,190.669998,189.649994,189.679993,1383300,186.815123
2014-12-02,190.669998,191.570007,189.320007,190.110001,1659900,187.238637
2014-12-01,190.929993,191.880005,190.020004,191.100006,1538300,188.213689
2014-11-28,189.619995,192.580002,189.00,191.559998,940900,188.666733
2014-11-26,187.50,189.550003,187.130005,189.149994,1320600,186.29313
2014-11-25,188.820007,190.039993,188.550003,188.669998,1808100,184.343037
2014-11-24,188.279999,189.259995,188.00,188.820007,1127000,184.489606
2014-11-21,187.960007,188.279999,187.179993,187.929993,1327800,183.620003
2014-11-20,185.649994,185.979996,184.389999,185.559998,1021600,181.304361
2014-11-19,186.070007,186.759995,185.410004,186.00,1167400,181.734272
2014-11-18,185.279999,187.240005,184.50,186.559998,1775200,182.281427
2014-11-17,186.690002,187.179993,185.360001,185.509995,1160900,181.255505
2014-11-14,187.990005,188.00,185.910004,186.600006,1665700,182.320518
2014-11-13,187.179993,189.050003,186.929993,187.970001,990600,183.659094
2014-11-12,186.929993,187.820007,186.350006,186.869995,789300,182.584315
2014-11-11,187.00,188.440002,186.740005,187.119995,881400,182.828581
2014-11-10,186.460007,187.259995,185.759995,186.990005,1296200,182.701573
2014-11-07,189.380005,189.410004,184.910004,186.149994,2569400,181.880826
2014-11-06,190.00,190.470001,189.080002,189.880005,995100,185.525293
2014-11-05,192.190002,192.339996,188.279999,189.729996,1743800,185.378724
2014-11-04,190.839996,192.940002,190.289993,190.789993,1667900,186.414412
2014-11-03,191.300003,191.929993,188.630005,190.75,1145900,186.375336
2014-10-31,191.399994,191.919998,189.660004,190.570007,1699900,186.199471
2014-10-30,185.960007,189.619995,184.830002,189.289993,1586000,184.948813
2014-10-29,186.029999,186.779999,184.910004,186.429993,1663700,182.154404
2014-10-28,184.100006,185.550003,182.679993,185.550003,1809200,181.294596
2014-10-27,181.690002,183.100006,180.699997,183.00,1071400,178.803074
2014-10-24,181.669998,181.759995,179.419998,181.330002,1550700,177.171376
2014-10-23,177.089996,181.630005,177.089996,180.669998,2442900,176.526509
2014-10-22,171.00,177.839996,170.710007,176.009995,3805700,171.973378
2014-10-21,170.149994,173.850006,166.279999,172.610001,4106600,168.651359
2014-10-20,175.929993,176.369995,173.929993,175.529999,2054900,171.50439
2014-10-17,176.839996,177.889999,175.860001,176.240005,2360100,172.198114
2014-10-16,173.229996,176.729996,172.449997,174.720001,1972800,170.712969
2014-10-15,174.009995,176.020004,170.259995,175.190002,2180500,171.172191
2014-10-14,173.550003,177.75,173.139999,176.110001,1585300,172.07109
2014-10-13,173.970001,176.449997,172.779999,172.880005,1473800,168.915171
2014-10-10,174.679993,176.779999,173.699997,174.470001,1668600,170.468703
2014-10-09,176.320007,176.559998,173.550003,174.550003,1581500,170.54687
2014-10-08,173.270004,176.550003,171.830002,176.350006,1677600,172.305592
2014-10-07,176.399994,176.559998,173.00,173.020004,1182700,169.05196
2014-10-06,179.619995,179.699997,176.669998,176.919998,1486300,172.862511
2014-10-03,177.669998,179.339996,176.919998,178.339996,2463700,174.249943
2014-10-02,177.660004,178.300003,175.789993,176.350006,1468900,172.305592
2014-10-01,181.149994,181.149994,177.080002,177.889999,1901400,173.810267
2014-09-30,182.600006,184.089996,182.130005,182.779999,1981200,178.588119
2014-09-29,181.800003,182.789993,180.110001,181.360001,1579900,177.200687
2014-09-26,177.539993,182.270004,177.539993,181.580002,1877700,177.415643
2014-09-25,178.100006,178.740005,176.259995,177.440002,1739100,173.37059
2014-09-24,176.279999,178.50,176.279999,178.389999,959400,174.2988
2014-09-23,178.529999,178.979996,175.919998,176.339996,1451100,172.295811
2014-09-22,179.720001,180.759995,178.759995,178.990005,1097400,174.885045
2014-09-19,180.490005,181.220001,180.220001,180.740005,1896300,176.594911
2014-09-18,179.369995,179.720001,178.300003,179.570007,1040400,175.451745
2014-09-17,177.779999,179.649994,177.449997,178.800003,1152600,174.6994
2014-09-16,175.130005,177.940002,175.020004,177.190002,1186800,173.126323
2014-09-15,174.419998,175.779999,173.919998,175.600006,678500,171.572792
2014-09-12,174.169998,174.990005,173.710007,174.429993,759400,170.429612
2014-09-11,174.380005,174.770004,173.580002,174.199997,1299200,170.204891
2014-09-10,174.960007,175.029999,173.720001,174.589996,2210500,170.585946
2014-09-09,175.600006,176.350006,174.839996,174.940002,1418300,170.927925
2014-09-08,174.520004,175.570007,174.360001,174.770004,926500,170.761826
2014-09-05,173.169998,174.649994,172.369995,174.580002,983600,170.576181
2014-09-04,173.990005,174.490005,172.759995,173.039993,1109000,169.071491
2014-09-03,174.940002,175.639999,173.210007,173.50,1454800,169.520948
2014-09-02,175.139999,175.309998,173.070007,173.800003,1547700,169.81407
2014-08-29,174.759995,175.089996,173.75,174.00,1532000,170.009481
2014-08-28,174.669998,175.050003,173.740005,174.100006,1455800,170.107193
2014-08-27,176.990005,177.190002,176.00,176.520004,1115200,171.172191
2014-08-26,176.970001,177.009995,176.039993,176.610001,1036500,171.259461
2014-08-25,175.75,177.070007,175.429993,176.529999,866400,171.181883
2014-08-22,174.710007,176.130005,174.360001,175.149994,801400,169.843687
2014-08-21,174.919998,175.490005,174.179993,175.100006,1088200,169.795213
2014-08-20,172.149994,175.470001,172.130005,175.309998,1351100,169.998843
2014-08-19,172.020004,172.399994,171.289993,172.130005,841100,166.915191
2014-08-18,170.199997,172.100006,170.039993,171.520004,766400,166.32367
2014-08-15,169.910004,170.50,167.940002,169.160004,1062400,164.035168
2014-08-14,169.339996,170.210007,168.860001,169.50,1030000,164.364864
2014-08-13,166.149994,169.399994,166.149994,169.089996,1081600,163.967281
2014-08-12,166.149994,167.149994,165.259995,165.779999,779500,160.757563
2014-08-11,166.860001,166.929993,166.00,166.149994,801800,161.116349
2014-08-08,163.110001,166.190002,163.100006,165.800003,1196000,160.776961
2014-08-07,164.279999,164.619995,162.520004,162.949997,1087100,158.013298
2014-08-06,166.080002,166.080002,162.710007,163.050003,1883000,158.110275
2014-08-05,167.789993,169.160004,166.559998,166.929993,1218900,161.872717
2014-08-04,167.559998,168.580002,167.029999,168.289993,1196400,163.191515
2014-08-01,166.720001,168.770004,166.190002,167.119995,1535900,162.056963
2014-07-31,169.080002,169.240005,166.970001,166.970001,1935900,161.911513
2014-07-30,170.240005,171.360001,168.839996,170.179993,1077200,165.024255
2014-07-29,170.50,170.660004,169.240005,169.330002,1063100,164.200016
2014-07-28,169.990005,170.570007,168.300003,170.00,1989600,164.849716
2014-07-25,169.330002,170.690002,169.190002,170.039993,2112300,164.888497
2014-07-24,168.529999,170.119995,167.820007,169.970001,1617600,164.820626
2014-07-23,167.759995,169.210007,167.220001,168.100006,1808500,163.007284
2014-07-22,164.50,168.179993,164.389999,167.869995,2174500,162.784241
2014-07-21,162.00,163.669998,161.190002,162.979996,1201200,158.042388
2014-07-18,161.820007,162.539993,161.059998,162.490005,1074700,157.567243
2014-07-17,161.110001,163.199997,160.559998,161.330002,1190600,156.442382
2014-07-16,163.080002,163.460007,161.149994,161.550003,947800,156.655718
2014-07-15,161.729996,163.490005,161.470001,162.619995,1312000,157.693294
2014-07-14,160.779999,161.979996,160.50,161.809998,1045100,156.907836
2014-07-11,158.130005,160.619995,157.929993,160.309998,1073600,155.45328
2014-07-10,156.229996,159.039993,156.229996,158.179993,815700,153.387805
2014-07-09,158.119995,158.729996,157.429993,157.929993,827400,153.145379
2014-07-08,158.440002,158.440002,156.960007,157.210007,970900,152.447205
2014-07-07,159.25,159.710007,157.710007,158.300003,1164700,153.50418
2014-07-03,159.800003,160.380005,159.110001,159.899994,687200,155.055697
2014-07-02,160.770004,160.880005,158.199997,158.979996,1309800,154.163571
2014-07-01,160.039993,161.770004,158.589996,160.639999,1358200,155.773284
2014-06-30,162.759995,162.830002,160.360001,160.729996,1234500,155.860554
2014-06-27,162.279999,162.929993,161.860001,162.699997,1102200,157.770872
2014-06-26,162.809998,162.809998,160.509995,162.050003,988400,157.14057
2014-06-25,162.649994,162.910004,161.440002,162.449997,988400,157.528446
2014-06-24,163.279999,164.50,162.460007,162.509995,812500,157.586626
2014-06-23,165.270004,165.809998,163.320007,163.949997,829500,158.983002
2014-06-20,163.75,165.699997,163.75,165.399994,1862900,160.389071
2014-06-19,164.009995,165.619995,163.300003,164.199997,1045800,159.225428
2014-06-18,164.130005,164.220001,162.050003,163.789993,1028200,158.827846
2014-06-17,165.00,165.639999,163.550003,164.240005,858100,159.264225
2014-06-16,163.860001,165.630005,163.529999,165.139999,889300,160.136953
2014-06-13,162.960007,164.589996,162.660004,164.039993,750200,159.070272
2014-06-12,164.300003,164.759995,162.179993,162.639999,857100,157.712692
2014-06-11,166.520004,166.940002,164.029999,164.529999,1297500,159.545433
2014-06-10,167.990005,168.070007,166.279999,167.339996,1002700,162.270299
2014-06-09,166.210007,168.869995,165.699997,168.080002,1351000,162.987886
2014-06-06,166.529999,167.229996,166.350006,167.169998,891000,162.105451
2014-06-05,164.529999,166.509995,164.529999,166.330002,996100,161.290903
2014-06-04,163.490005,164.720001,162.990005,164.520004,871300,159.535741
2014-06-03,164.110001,164.479996,163.190002,163.889999,850900,158.924823
2014-06-02,163.880005,164.410004,162.630005,164.110001,1012600,159.138159
2014-05-30,162.729996,163.960007,162.289993,163.649994,2121200,158.692088
2014-05-29,161.119995,163.389999,160.580002,163.149994,1489200,158.207236
2014-05-28,163.429993,164.600006,161.869995,162.100006,1831500,155.899357
2014-05-27,163.130005,163.229996,162.009995,162.949997,1294500,156.716834
2014-05-23,162.669998,163.240005,161.899994,162.639999,1663400,156.418695
2014-05-22,162.070007,162.380005,161.259995,161.820007,823200,155.630069
2014-05-21,161.160004,162.080002,160.850006,161.889999,859500,155.697384
2014-05-20,162.490005,162.50,159.889999,160.570007,907600,154.427884
2014-05-19,162.149994,163.240005,161.699997,162.300003,1460200,156.091704
2014-05-16,163.690002,164.289993,162.009995,162.100006,1739200,155.899357
2014-05-15,164.820007,165.419998,162.770004,163.539993,1061100,157.284262
2014-05-14,167.990005,168.00,164.850006,165.259995,1165600,158.93847
2014-05-13,166.919998,167.979996,166.330002,167.639999,968400,161.227435
2014-05-12,165.50,167.169998,165.300003,166.919998,1051900,160.534975
2014-05-09,164.149994,165.199997,163.380005,165.179993,837900,158.861528
2014-05-08,164.179993,165.350006,163.639999,164.389999,1024700,158.101754
2014-05-07,164.00,164.470001,162.570007,164.199997,1173300,157.919019
2014-05-06,164.660004,165.300003,163.190002,163.490005,1026600,157.236186
2014-05-05,163.50,165.369995,162.789993,165.119995,945500,158.803826
2014-05-02,163.00,164.110001,162.699997,163.899994,1133100,157.630492
2014-05-01,163.720001,164.839996,162.320007,162.850006,1301700,156.620668
2014-04-30,162.020004,164.380005,161.350006,164.139999,1615800,157.861317
2014-04-29,161.300003,162.529999,160.910004,161.990005,1225900,155.793564
2014-04-28,161.330002,162.270004,159.800003,161.369995,1352700,155.197271
2014-04-25,160.220001,161.490005,158.690002,161.089996,1803400,154.927982
2014-04-24,162.429993,162.589996,159.600006,160.619995,1398300,154.47596
2014-04-23,156.809998,162.429993,155.820007,161.979996,2862400,155.783938
2014-04-22,164.679993,164.710007,156.199997,156.690002,2674100,150.696297
2014-04-21,163.240005,163.240005,160.360001,161.490005,1303700,155.31269
2014-04-17,158.25,160.490005,158.25,160.25,1544900,154.120118
2014-04-16,158.440002,159.470001,156.869995,159.440002,1167900,153.341104
2014-04-15,155.550003,157.589996,154.210007,157.389999,1160500,151.369518
2014-04-14,155.00,157.160004,154.289993,155.820007,1356100,149.859581
2014-04-11,154.970001,155.389999,153.539993,153.820007,2024200,147.936085
2014-04-10,159.080002,159.649994,155.309998,155.429993,1499300,149.484485
2014-04-09,158.029999,159.949997,156.919998,158.830002,1124300,152.754437
2014-04-08,157.570007,157.800003,154.75,156.649994,1782800,150.657819
2014-04-07,159.380005,160.610001,157.479996,157.740005,1315200,151.706135
2014-04-04,164.949997,164.949997,159.419998,159.610001,1622500,153.504599
2014-04-03,165.00,165.130005,163.699997,163.75,1254600,157.486236
2014-04-02,164.00,164.770004,162.679993,164.699997,1050300,158.399893
2014-04-01,163.520004,164.130005,162.529999,163.710007,981900,157.447772
2014-03-31,162.25,163.550003,161.600006,163.240005,1458700,156.995749
2014-03-28,159.529999,161.369995,159.240005,160.539993,1191800,154.399018
2014-03-27,159.289993,159.949997,158.020004,158.880005,1857000,152.802528
2014-03-26,160.839996,162.089996,159.619995,159.639999,1299200,153.533451
2014-03-25,158.75,161.130005,158.580002,160.570007,2099700,154.427884
2014-03-24,158.529999,159.369995,157.009995,158.190002,1997300,152.138919
2014-03-21,161.00,161.369995,157.399994,157.399994,4247800,151.37913
2014-03-20,161.119995,162.470001,159.369995,159.929993,3228500,153.812351
2014-03-19,164.369995,164.580002,160.009995,160.899994,2068200,154.745248
2014-03-18,164.850006,165.089996,163.850006,163.979996,1652400,157.707434
2014-03-17,163.440002,164.649994,163.080002,164.070007,1466300,157.794002
2014-03-14,162.539993,164.600006,162.149994,162.419998,1386100,156.207109
2014-03-13,164.529999,165.110001,162.320007,162.830002,1404600,156.601429
2014-03-12,163.470001,164.00,162.00,163.860001,1503100,157.592029
2014-03-11,165.369995,165.699997,163.720001,163.800003,1738200,157.534326
2014-03-10,165.690002,166.699997,165.110001,165.479996,1377100,159.150056
2014-03-07,167.50,167.869995,165.970001,166.570007,1403500,160.198372
2014-03-06,166.850006,167.479996,166.399994,166.839996,1378300,160.458033
2014-03-05,166.229996,167.429993,165.50,166.820007,1889200,160.438809
2014-03-04,164.289993,166.169998,164.289993,165.639999,1748200,159.303939
2014-03-03,160.820007,164.210007,160.520004,163.550003,1709000,157.293889
2014-02-28,161.149994,163.309998,161.149994,162.300003,2232700,156.091704
2014-02-27,160.399994,161.669998,159.509995,161.440002,3075100,155.2646
2014-02-26,163.300003,164.410004,160.809998,160.830002,2691000,153.398806
2014-02-25,166.580002,167.429993,163.100006,163.610001,2278400,156.050354
2014-02-24,165.619995,168.410004,164.800003,166.139999,2534300,158.463454
2014-02-21,165.00,165.440002,163.369995,164.330002,2377600,156.737088
2014-02-20,163.00,165.889999,162.919998,164.270004,2112600,156.679862
2014-02-19,162.600006,164.710007,162.009995,162.649994,1762400,155.134705
2014-02-18,161.529999,163.949997,161.529999,162.699997,1985200,155.182398
2014-02-14,159.800003,163.240005,159.309998,162.889999,2556400,155.363621
2014-02-13,157.660004,160.759995,156.539993,159.800003,2461600,152.416399
2014-02-12,158.710007,159.449997,157.970001,158.919998,1851100,151.577055
2014-02-11,154.570007,158.320007,154.179993,157.559998,2242200,150.279893
2014-02-10,154.75,155.410004,153.509995,153.979996,2375000,146.865307
2014-02-07,151.899994,155.699997,151.059998,155.130005,2072700,147.962179
2014-02-06,149.729996,152.639999,149.50,151.740005,2073800,144.728816
2014-02-05,147.740005,151.970001,147.429993,150.389999,2728100,143.441187
2014-02-04,147.789993,148.970001,144.690002,148.179993,2205000,141.333294
2014-02-03,150.539993,152.00,147.419998,147.740005,2307200,140.913637
2014-01-31,147.070007,151.990005,145.940002,150.910004,2618200,143.937164
2014-01-30,148.589996,150.289993,147.669998,148.660004,1931600,141.791126
2014-01-29,147.139999,148.240005,146.50,147.350006,2501000,140.541657
2014-01-28,147.009995,148.820007,146.800003,148.279999,2676000,141.42868
